,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
293,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,22.581.909.405,PENGEMBANGAN
294,JIHD,Jakarta International Hotels &,29 Feb 1984,2.329.040.482,PENGEMBANGAN
295,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,UTAMA
296,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Ags 1997,150.000.000,PENGEMBANGAN
297,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,PENGEMBANGAN
298,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11.726.575.201,UTAMA
299,JRPT,Jaya Real Property Tbk.,29 Jun 1994,13.750.000.000,UTAMA
300,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,1.016.270.000,UTAMA
301,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,UTAMA
302,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,2.318.736.000,PENGEMBANGAN
303,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,1.713.012.500,PENGEMBANGAN
304,KAEF,Kimia Farma Tbk.,04 Jul 2001,5.554.000.000,UTAMA
305,KARW,ICTSI Jasa Prima Tbk.,20 Des 2008,587.152.700,PENGEMBANGAN
306,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,UTAMA
307,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,PENGEMBANGAN
308,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,PENGEMBANGAN
309,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,PENGEMBANGAN
310,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,405.000.000,PENGEMBANGAN
311,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,PENGEMBANGAN
312,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,UTAMA
313,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,UTAMA
314,KINO,Kino Indonesia Tbk.,11 Des 2015,1.428.571.500,PENGEMBANGAN
315,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,717.238.500,PENGEMBANGAN
316,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,UTAMA
317,KLBF,Kalbe Farma Tbk.,30 Jul 1991,46.875.122.110,UTAMA
318,KMTR,Kirana Megatara Tbk.,19 Jun 2017,7.682.950.000,PENGEMBANGAN
319,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,UTAMA
320,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,PENGEMBANGAN
321,KONI,Perdana Bangun Pusaka Tbk,22 Ags 1995,152.000.000,PENGEMBANGAN
322,KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,697.266.668,PENGEMBANGAN
323,KPAL,Steadfast Marine Tbk.,08 Jun 2018,992.357.150,UTAMA
324,KPAS,Cottonindo Ariesta Tbk.,05 Okt 2018,768.000.000,PENGEMBANGAN
325,KPIG,MNC Land Tbk.,30 Mar 2000,74.079.122.790,PENGEMBANGAN
326,KRAH,Grand Kartech Tbk.,08 Nov 2013,971.190.000,PENGEMBANGAN
327,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,19.346.396.900,UTAMA
328,KREN,Kresna Graha Investama Tbk.,28 Jun 2002,18.208.470.100,UTAMA
329,LAND,Trimitra Propertindo Tbk.,23 Ags 2018,2.792.620.000,PENGEMBANGAN
330,LAPD,Leyand International Tbk.,17 Jul 2001,3.966.350.139,PENGEMBANGAN
331,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,PENGEMBANGAN
332,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,PENGEMBANGAN
333,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,4.049.616.328,UTAMA
334,LINK,Link Net Tbk.,02 Jun 2014,3.042.649.384,UTAMA
335,LION,Lion Metal Works Tbk.,20 Ags 1993,520.160.000,UTAMA
336,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787.851.525,PENGEMBANGAN
337,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1.008.517.669,PENGEMBANGAN
338,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,96.000.000,PENGEMBANGAN
339,LPCK,Lippo Cikarang Tbk,24 Jul 1997,696.000.000,UTAMA
340,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,150.000.000,UTAMA
341,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,106.250.000,PENGEMBANGAN
342,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,23.077.689.619,UTAMA
343,LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,PENGEMBANGAN
344,LPPF,Matahari Department Store Tbk.,09 Okt 1989,2.917.918.080,UTAMA
345,LPPS,Lippo Securities Tbk.,28 Mar 1994,2.588.250.000,PENGEMBANGAN
346,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,PENGEMBANGAN
347,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,6.822.863.965,UTAMA
348,LTLS,Lautan Luas Tbk.,21 Jul 1997,1.560.000.000,UTAMA
349,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,715.749.640,PENGEMBANGAN
350,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,15.365.229.912,PENGEMBANGAN
351,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,9.000.000.004,PENGEMBANGAN
352,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,2.238.750.000,UTAMA
353,MAMI,Mas Murni Indonesia Tbk,09 Feb 1994,5.127.240.122,PENGEMBANGAN
354,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,2.850.400.000,PENGEMBANGAN
355,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,2.170.922.900,PENGEMBANGAN
356,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,16.600.000.000,UTAMA
357,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,PENGEMBANGAN
358,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,760.000.062,PENGEMBANGAN
359,MASA,Multistrada Arah Sarana Tbk.,09 Jun 2005,9.182.946.945,UTAMA
360,MAYA,Bank Mayapada Internasional Tb,29 Ags 1997,6.313.147.533,UTAMA
361,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,1.227.271.952,PENGEMBANGAN
362,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,1.750.026.639,UTAMA
363,MBTO,Martina Berto Tbk.,13 Jan 2011,1.070.000.000,UTAMA
364,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,867.933.300,PENGEMBANGAN
365,MCOR,Bank China Construction Bank I,03 Jul 2007,16.465.148.150,UTAMA
366,MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,UTAMA
367,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,4.164.518.330,PENGEMBANGAN
368,MDKI,Emdeki Utama Tbk.,25 Sep 2017,1.807.250.000,PENGEMBANGAN
369,MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,UTAMA
370,MDRN,Modern Internasional Tbk.,16 Jul 1991,5.032.167.798,UTAMA
371,MEDC,Medco Energi Internasional Tbk,12 Okt 1994,17.829.188.368,UTAMA
372,MEGA,Bank Mega Tbk.,17 Apr 2000,6.894.138.227,UTAMA
373,MERK,Merck Tbk.,23 Jul 1981,448.000.000,PENGEMBANGAN
374,META,Nusantara Infrastructure Tbk.,18 Jul 2001,15.235.671.880,UTAMA
375,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,2.650.000.000,PENGEMBANGAN
376,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,PENGEMBANGAN
377,MGNA,Magna Investama Mandiri Tbk.,07 Jul 2014,1.003.080.977,PENGEMBANGAN
378,MGRO,Mahkota Group Tbk.,12 Jul 2018,3.518.438.000,UTAMA
379,MICE,Multi Indocitra Tbk.,02 Nov 2005,600.000.000,PENGEMBANGAN
380,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,2.882.353.000,PENGEMBANGAN
381,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,14.550.736.000,UTAMA
382,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,6.562.500.000,PENGEMBANGAN
383,MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,PENGEMBANGAN
384,MITI,Mitra Investindo Tbk.,16 Jul 1997,1.411.550.800,PENGEMBANGAN
385,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.000.000.000,PENGEMBANGAN
386,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,PENGEMBANGAN
387,MLBI,Multi Bintang Indonesia Tbk.,17 Jan 1994,2.107.000.000,UTAMA
388,MLIA,Mulia Industrindo Tbk,17 Jan 1994,1.323.000.000,PENGEMBANGAN
389,MLPL,Multipolar Tbk.,06 Nov 1989,14.639.632.470,UTAMA
390,MLPT,Multipolar Technology Tbk.,08 Jul 2013,1.875.000.000,UTAMA
391,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,PENGEMBANGAN
392,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,14.276.103.500,UTAMA
393,MOLI,Madusari Murni Indah Tbk.,30 Ags 2018,2.334.888.498,PENGEMBANGAN
394,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.462.963.276,UTAMA
395,MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,PENGEMBANGAN
396,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,7.529.147.920,UTAMA
397,MPRO,Propertindo Mulia Investama Tb,09 Okt 2018,9.942.500.000,PENGEMBANGAN
398,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,UTAMA
399,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,PENGEMBANGAN
400,MSIN,MNC Studios International Tbk.,08 Jun 2018,5.202.000.000,PENGEMBANGAN
401,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.813.064.073,UTAMA
402,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,2.455.376.917,UTAMA
403,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,PENGEMBANGAN
404,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,UTAMA
405,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,PENGEMBANGAN
406,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,PENGEMBANGAN
407,MTWI,Malacca Trust Wuwungan Insuran,11 Okt 2017,1.525.819.116,PENGEMBANGAN
408,MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,UTAMA
409,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,UTAMA
410,MYRX,Hanson International Tbk.,31 Okt 1990,86.703.220.792,PENGEMBANGAN
411,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,1.466.666.577,UTAMA
412,NAGA,Bank Mitraniaga Tbk.,09 Jul 2013,1.612.710.000,UTAMA
413,NASA,Ayana Land International Tbk.,07 Ags 2017,11.004.915.642,PENGEMBANGAN
414,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,PENGEMBANGAN
415,NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,PENGEMBANGAN
416,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,PENGEMBANGAN
417,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,UTAMA
418,NIPS,Nipress Tbk.,24 Jul 1991,1.635.333.332,PENGEMBANGAN
419,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,PENGEMBANGAN
420,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,UTAMA
421,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,4.393.533.177,UTAMA
422,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,UTAMA
423,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.000,PENGEMBANGAN
424,OASA,Protech Mitra Perkasa Tbk.,18 Jul 2016,358.600.000,PENGEMBANGAN
425,OCAP,Onix Capital Tbk.,10 Nov 2003,273.200.000,PENGEMBANGAN
426,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,1.765.927.777,PENGEMBANGAN
427,OMRE,Indonesia Prima Property Tbk,22 Ags 1994,1.745.000.000,PENGEMBANGAN
428,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,UTAMA
429,PALM,Provident Agro Tbk.,08 Okt 2012,7.119.540.356,PENGEMBANGAN
430,PANI,Pratama Abadi Nusa Industri Tb,18 Sep 2018,410.000.000,PENGEMBANGAN
431,PANR,Panorama Sentrawisata Tbk.,01 Jan 1950,1.200.000.000,UTAMA
432,PANS,Panin Sekuritas Tbk.,31 Des 2000,720.000.000,UTAMA
433,PBID,Panca Budi Idaman Tbk.,13 Des 2017,1.875.000.000,PENGEMBANGAN
434,PBRX,Pan Brothers Tbk.,16 Ags 1990,6.478.295.611,UTAMA
435,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,1.500.000.000,UTAMA
436,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1.166.666.700,PENGEMBANGAN
437,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,PENGEMBANGAN
438,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,PENGEMBANGAN
439,PGAS,Perusahaan Gas Negara (Persero,15 Des 2003,24.241.508.196,UTAMA
440,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,PENGEMBANGAN
441,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,PENGEMBANGAN
442,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,UTAMA
443,PKPK,Perdana Karya Perkasa Tbk,11 Jul 2007,600.000.000,PENGEMBANGAN
444,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,PENGEMBANGAN
445,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,UTAMA
446,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,UTAMA
447,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,23.719.447.472,UTAMA
448,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,UTAMA
449,PNLF,Panin Financial Tbk.,14 Jun 1993,32.022.073.293,UTAMA
450,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,PENGEMBANGAN
451,POLA,Pool Advista Finance Tbk.,16 Nov 2018,2.722.910.000,PENGEMBANGAN
452,POLL,Pollux Properti Indonesia Tbk.,11 Jul 2018,8.318.823.600,UTAMA
453,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,PENGEMBANGAN
454,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.250.171.149,PENGEMBANGAN
455,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,PENGEMBANGAN
456,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,UTAMA
457,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,UTAMA
458,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,UTAMA
459,PRAS,Prima Alloy Steel Universal Tb,12 Jul 1990,701.043.478,UTAMA
460,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937.500.000,PENGEMBANGAN
461,PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.432.600,PENGEMBANGAN
462,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,PENGEMBANGAN
463,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,PENGEMBANGAN
464,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,PENGEMBANGAN
465,PSSI,Pelita Samudera Shipping Tbk.,05 Des 2017,5.030.000.000,PENGEMBANGAN
466,PTBA,Bukit Asam Tbk.,23 Des 2002,11.520.659.250,UTAMA
467,PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,UTAMA
468,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,UTAMA
469,PTRO,Petrosea Tbk.,21 Mei 1990,1.008.605.000,UTAMA
470,PTSN,Sat Nusapersada Tbk,08 Nov 2007,1.771.448.000,UTAMA
471,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,PENGEMBANGAN
472,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,329.560.000,UTAMA
473,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,UTAMA
474,PYFA,Pyridam Farma Tbk,16 Okt 2001,535.080.000,PENGEMBANGAN
475,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,UTAMA
476,RAJA,Rukun Raharja Tbk.,19 Apr 2006,4.227.082.500,UTAMA
477,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,UTAMA
478,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,UTAMA
479,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,UTAMA
480,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,UTAMA
481,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,UTAMA
482,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,UTAMA
483,RIGS,Rig Tenders Indonesia Tbk.,26 Mar 1990,609.130.000,PENGEMBANGAN
484,RIMO,Rimo International Lestari Tbk,10 Nov 2000,40.936.000.000,PENGEMBANGAN
485,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,9.950.000.000,UTAMA
486,RMBA,Bentoel Internasional Investam,05 Mar 1990,36.401.136.250,UTAMA
487,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,PENGEMBANGAN
488,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,UTAMA
489,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,PENGEMBANGAN
490,SAFE,Steady Safe Tbk,15 Ags 1994,615.145.012,PENGEMBANGAN
491,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,5.900.000.000,PENGEMBANGAN
492,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,PENGEMBANGAN
493,SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.250.000.000,PENGEMBANGAN
494,SCBD,Danayasa Arthatama Tbk.,31 Des 2099,3.322.092.000,PENGEMBANGAN
495,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,205.583.400,UTAMA
496,SCMA,Surya Citra Media Tbk.,16 Jul 2002,14.621.601.234,UTAMA
497,SCPI,Merck Sharp Dohme Pharma Tbk.,08 Jun 1990,3.600.000,PENGEMBANGAN
498,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,1.135.225.000,PENGEMBANGAN
499,SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,UTAMA
500,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,6.515.116.991,UTAMA
501,SGRO,Sampoerna Agro Tbk.,18 Jun 2007,1.890.000.000,UTAMA
502,SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,PENGEMBANGAN
503,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,2.719.790.000,PENGEMBANGAN
504,SIAP,Sekawan Intipratama Tbk,17 Okt 2008,24.000.000.000,PENGEMBANGAN
505,SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,15.000.000.000,UTAMA
506,SILO,Siloam International Hospitals,12 Sep 2013,1.625.765.625,UTAMA
507,SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,PENGEMBANGAN
508,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,15.816.310.000,UTAMA
509,SIPD,Sierad Produce Tbk.,27 Des 1996,1.339.102.579,PENGEMBANGAN
510,SKBM,Sekar Bumi Tbk.,05 Jan 1993,1.726.003.217,PENGEMBANGAN
511,SKLT,Sekar Laut Tbk.,08 Sep 1993,690.740.500,PENGEMBANGAN
512,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,1.500.000.000,PENGEMBANGAN
513,SKYB,Skybee Tbk.,07 Jul 2010,585.000.000,PENGEMBANGAN
514,SMAR,Smart Tbk.,20 Nov 1992,2.872.193.366,PENGEMBANGAN
515,SMBR,Semen Baturaja (Persero) Tbk.,28 Jun 2013,9.932.534.336,UTAMA
516,SMCB,Holcim Indonesia Tbk.,10 Ags 1997,7.662.900.000,UTAMA
517,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,PENGEMBANGAN
518,SMDR,Samudera Indonesia  Tbk.,05 Des 1999,3.275.120.000,UTAMA
519,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,5.931.520.000,UTAMA
520,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,UTAMA
521,SMMT,Golden Eagle Energy Tbk.,01 Des 2007,3.150.000.000,PENGEMBANGAN
522,SMRA,Summarecon Agung Tbk.,07 Mei 1990,14.426.781.680,UTAMA
523,SMRU,SMR Utama Tbk.,10 Okt 2011,12.499.385.782,PENGEMBANGAN
524,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,UTAMA
525,SOCI,Soechi Lines Tbk.,03 Des 2014,7.059.000.000,UTAMA
526,SONA,Sona Topas Tourism Industry Tb,12 Jul 1992,331.200.000,PENGEMBANGAN
527,SOSS,Shield On Service Tbk.,06 Nov 2018,650.000.000,PENGEMBANGAN
528,SOTS,Satria Mega Kencana Tbk.,10 Des 2018,1.000.000.000,PENGEMBANGAN
529,SPMA,Suparma Tbk.,16 Nov 1994,2.114.570.958,UTAMA
530,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,PENGEMBANGAN
531,SQMI,Renuka Coalindo Tbk.,15 Jul 2004,301.200.000,PENGEMBANGAN
532,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,12.000.705.445,UTAMA
533,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,UTAMA
534,SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,UTAMA
535,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,2.712.967.000,PENGEMBANGAN
536,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,UTAMA
537,SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,9.525.000.000,UTAMA
538,SSTM,Sunson Textile Manufacture Tbk,20 Ags 1997,1.170.909.181,PENGEMBANGAN
539,STAR,Star  Petrochem Tbk.,13 Jul 2011,4.800.000.602,UTAMA
540,STTP,Siantar Top Tbk.,16 Des 1996,1.310.000.000,PENGEMBANGAN
541,SUGI,Sugih Energy Tbk.,19 Jun 2002,24.811.541.414,PENGEMBANGAN
542,SULI,SLJ Global Tbk.,21 Mar 1994,3.986.916.802,UTAMA
543,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,PENGEMBANGAN
544,SURE,Super Energy Tbk.,05 Okt 2018,1.497.576.771,PENGEMBANGAN
545,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,PENGEMBANGAN
546,TALF,Tunas Alfin Tbk.,17 Jan 2014,1.353.435.000,PENGEMBANGAN
547,TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,3.750.000.000,PENGEMBANGAN
548,TARA,Sitara Propertindo Tbk.,11 Jul 2014,10.069.645.750,UTAMA
549,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,2.145.600.000,UTAMA
550,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,4.531.399.889,UTAMA
551,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,5.342.098.939,UTAMA
552,TBMS,Tembaga Mulia Semanan Tbk.,30 Sep 1993,367.340.000,PENGEMBANGAN
553,TCID,Mandom Indonesia Tbk.,30 Sep 1993,201.066.667,UTAMA
554,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,5.000.000.000,PENGEMBANGAN
555,TDPM,Tridomain Performance Material,09 Apr 2018,10.485.050.500,UTAMA
556,TELE,Tiphone Mobile Indonesia Tbk.,12 Jan 2012,7.302.194.889,UTAMA
557,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,PENGEMBANGAN
558,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,918.492.750,PENGEMBANGAN
559,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,UTAMA
560,TIFA,Tifa Finance Tbk.,08 Jul 2011,1.079.700.000,PENGEMBANGAN
561,TINS,Timah Tbk.,19 Okt 1995,7.447.753.454,UTAMA
562,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,PENGEMBANGAN
563,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,UTAMA
564,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,UTAMA
565,TLKM,Telekomunikasi Indonesia (Pers,14 Nov 1995,99.062.216.600,UTAMA
566,TMAS,Pelayaran Tempuran Emas Tbk.,09 Jul 2003,1.141.030.000,UTAMA
567,TMPI,Sigmagold Inti Perkasa Tbk.,26 Jan 1995,5.502.083.747,UTAMA
568,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,PENGEMBANGAN
569,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,PENGEMBANGAN
570,TOBA,Toba Bara Sejahtra Tbk.,06 Jul 2012,2.012.491.000,UTAMA
571,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,UTAMA
572,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,UTAMA
573,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,PENGEMBANGAN
574,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,51.014.625.000,PENGEMBANGAN
575,TPIA,Chandra Asri Petrochemical Tbk,24 Jun 1996,17.833.520.260,PENGEMBANGAN
576,TPMA,Trans Power Marine Tbk.,20 Feb 2013,2.633.300.000,PENGEMBANGAN
577,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,49.633.687.987,UTAMA
578,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,PENGEMBANGAN
579,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,UTAMA
580,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,UTAMA
581,TRIS,Trisula International Tbk.,28 Jun 2012,1.047.587.802,PENGEMBANGAN
582,TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,UTAMA
583,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,PENGEMBANGAN
584,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,PENGEMBANGAN
585,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,4.500.000.000,UTAMA
